date,event_summary,location,protest_type,participants,escalation,sentiment,source
2026-05-03,"The 2026 NEET controversy involved a paper leak and other examination irregularities affecting the National Eligibility cum Entrance Test (Undergraduate), or NEET-UG, conducted by India's National Tes",Pan-India,None,0,0,Highly Negative,Wikipedia
2026-01-01,"A replacement examination (""re-NEET"") was announced for June. The stress associated with the initial examination, its cancellation, and the prospect of sitting the examination a second time led to",Pan-India,None,0,0,Neutral,Wikipedia
2026-07-25,"The controversy led to protests, political criticism, and petitions to the Supreme Court of India. It drew comparisons with the 2024 NEET controversy. On 25 July 2026, Dharmendra Pradhan, the educatio",Pan-India,Street Protest,0,4,Negative,Wikipedia
2026-01-01,"The NEET-UG, formerly known as the All India Pre-Medical Test (AIMPT), is an Indian nationwide entrance examination conducted by the National Testing Agency (NTA) for admission to undergraduate medica",Pan-India,None,0,0,Neutral,Wikipedia
2026-01-01,"After the enactment of the NMC Act 2019 in September 2019, the NEET-UG became the sole entrance test for admissions to medical colleges in India including the All India Institutes of Medical Sciences",Pan-India,None,0,0,Neutral,Wikipedia
2026-01-01,"In 2024, a similar controversy arose when on 5 May, the day of the NEET-UG examination, several social media posts alleged the exam questions were leaked in advance.",Pan-India,None,0,1,Highly Negative,Wikipedia
2026-01-01,"Soon after the exam on 3 May, allegations emerged of a guess paper or question bank being shared through WhatsApp and other channels in coaching centers like Sikar, Rajasthan, which closely matched ma",Rajasthan,None,0,1,Neutral,Wikipedia
2026-01-01,"Shashikant Suthar, a chemistry teacher from Sikar, informed the authorities about the circulation of the leaked questions after comparing the material with the official exam paper, noting nearly 140 q",Rajasthan,None,0,4,Highly Negative,Wikipedia
2026-05-12,"On 12 May 2026, the NTA announced the exam was officially cancelled and a re-examination would be held. In a statement posted on X, the NTA announced the decision to cancel was taken ""in the inter",Pan-India,None,0,0,Highly Negative,Wikipedia
2026-01-01,"In Rajasthan, the Special Operations Group initiated an investigation after identifying 42 out of 45 questions from a mock paper traced to a coaching institute in Latur that appeared on the actual tes",Rajasthan,None,0,4,Highly Negative,Wikipedia
2026-05-12,"On 12 May 2026, the Central Bureau of Investigation (CBI) officially took over the investigation, and announced the arrest of several individuals, including Pune-based chemistry professor P. V",Pune,None,0,4,Highly Negative,Wikipedia
2026-01-01,"Investigators said the network was spread across Rajasthan, Maharashtra, and other states. Union Education Minister Dharmendra Pradhan admitted there was a ""breach in the command chain"", and annou",Rajasthan,None,0,0,Neutral,Wikipedia
2026-01-01,CBI investigators found evidence that the NEET UG 2025 question paper was also compromised by the same racket responsible for the 2026 leak.,Pan-India,None,0,4,Highly Negative,Wikipedia
2026-05-18,"On 18 May 2026, the CBI arrested Shivraj Motegaonkar, owner of Renukai Chemistry Classes Coaching Institute in Latur, Maharashtra, in connection with the paper leak. The investigation agency t",Delhi,None,0,4,Highly Negative,Wikipedia
2026-01-01,"The CBI carried out further probes at the residences of candidates who allegedly received the leaked papers at two locations in Nagpur. They were believed to be in contact with Manisha Waghmare, a bea",Pune,None,0,4,Highly Negative,Wikipedia
2026-05-22,"Manisha Sanjay Havaldar, the headmistress of a Pune-based school, was arrested by the CBI on 22 May 2026 for supposedly leaking the physics question paper, which later appeared in the actual exam. She",Pune,None,0,4,Highly Negative,Wikipedia
2026-01-01,"The CBI later clarified the supposed student was in fact a physics teacher, Tejas Harshadkumar Shah, who was associated with the Dr. Abhang Prabhu Medical Academy in Pune. Manoj Shirure, a pediatricia",Pune,None,0,4,Highly Negative,Wikipedia
2026-01-01,"The cancellation led to large protests by students and parents in Delhi and other cities, including by members of the National Students' Union of India at Shastri Bhavan in Delhi. Protestors d",Delhi,Street Protest,0,2,Highly Negative,Wikipedia
2026-01-01,"Former Chief Minister MK Stalin urged the central government to exempt the NEET-UG for the 2026 school year and allow states to determine their own medical admission process. He criticized the NEET, a",Pan-India,None,0,0,Highly Negative,Wikipedia
2026-01-01,"Medical organizations such as the Federation of All India Medical Associations filed petitions in the Supreme Court, asking for reforms within the NTA and a court-monitored re-examination. Edu",Pan-India,None,0,4,Neutral,Wikipedia
2026-05-25,"On 25 May 2026, the Supreme Court of India sought a status report on the implementation of recommendations made by the committee constituted after its 2024 ruling on the NEET-UG paper leak issue that",Pan-India,None,0,4,Highly Negative,Wikipedia
